threshold,precision,recall,f1
0.37333333333333335,0.8016877637130801,0.95,0.8695652173913043
0.37666666666666665,0.8050847457627118,0.95,0.871559633027523
0.39,0.8085106382978723,0.95,0.8735632183908046
0.3933333333333333,0.8111587982832618,0.945,0.8729792147806004
0.4033333333333333,0.8146551724137931,0.945,0.8750000000000001
0.4066666666666667,0.8181818181818182,0.945,0.877030162412993
0.4166666666666667,0.8281938325991189,0.94,0.8805620608899297
0.42,0.831858407079646,0.94,0.8826291079812206
0.4266666666666667,0.8348214285714286,0.935,0.8820754716981133
0.43333333333333335,0.8423423423423423,0.935,0.886255924170616
0.43666666666666665,0.8461538461538461,0.935,0.8883610451306413
0.44,0.8532110091743119,0.93,0.8899521531100477
0.44333333333333336,0.8525345622119815,0.925,0.8872901678657075
0.45,0.8518518518518519,0.92,0.8846153846153846
0.45666666666666667,0.8558139534883721,0.92,0.8867469879518073
0.46,0.8591549295774648,0.915,0.8861985472154964
0.4666666666666667,0.8632075471698113,0.915,0.8883495145631068
0.47,0.8714285714285714,0.915,0.8926829268292683
0.47333333333333333,0.8798076923076923,0.915,0.8970588235294118
0.4766666666666667,0.8883495145631068,0.915,0.9014778325123154
0.48,0.8878048780487805,0.91,0.8987654320987655
0.48333333333333334,0.8872549019607843,0.905,0.8960396039603961
0.49333333333333335,0.8905472636815921,0.895,0.8927680798004988
0.49666666666666665,0.895,0.895,0.895
0.5,0.8944723618090452,0.89,0.8922305764411028
0.5033333333333333,0.8939393939393939,0.885,0.8894472361809046
0.5066666666666667,0.8934010152284264,0.88,0.8866498740554157
0.51,0.8974358974358975,0.875,0.8860759493670887
0.52,0.8969072164948454,0.87,0.883248730964467
0.5266666666666666,0.8963730569948186,0.865,0.8804071246819338
0.5333333333333333,0.900523560209424,0.86,0.8797953964194374
0.5366666666666666,0.9,0.855,0.8769230769230769
0.55,0.9042553191489362,0.85,0.8762886597938143
0.5533333333333333,0.9081081081081082,0.84,0.8727272727272728
0.5566666666666666,0.9130434782608695,0.84,0.8749999999999999
0.56,0.912568306010929,0.835,0.8720626631853786
0.5666666666666667,0.9120879120879121,0.83,0.869109947643979
0.57,0.9111111111111111,0.82,0.8631578947368421
0.5733333333333334,0.9157303370786517,0.815,0.8624338624338624
0.58,0.9152542372881356,0.81,0.8594164456233423
0.5833333333333334,0.9195402298850575,0.8,0.8556149732620321
0.5866666666666667,0.9239766081871345,0.79,0.8517520215633423
0.59,0.9235294117647059,0.785,0.8486486486486486
0.5933333333333334,0.9230769230769231,0.78,0.8455284552845529
0.5966666666666667,0.9285714285714286,0.78,0.8478260869565217
0.6,0.9281437125748503,0.775,0.8446866485013624
0.6033333333333334,0.927710843373494,0.77,0.8415300546448088
0.6066666666666667,0.926829268292683,0.76,0.8351648351648352
0.6133333333333333,0.937888198757764,0.755,0.8365650969529086
0.6166666666666667,0.9371069182389937,0.745,0.83008356545961
0.63,0.9367088607594937,0.74,0.8268156424581006
0.6333333333333333,0.9426751592356688,0.74,0.8291316526610645
0.6466666666666666,0.9423076923076923,0.735,0.8258426966292134
0.65,0.9419354838709677,0.73,0.8225352112676055
0.66,0.9415584415584416,0.725,0.8192090395480225
0.6633333333333333,0.9407894736842105,0.715,0.8124999999999999
0.6666666666666666,0.9403973509933775,0.71,0.8091168091168092
0.67,0.9395973154362416,0.7,0.8022922636103151
0.6766666666666666,0.9387755102040817,0.69,0.7953890489913544
0.68,0.9444444444444444,0.68,0.7906976744186047
0.6833333333333333,0.951048951048951,0.68,0.7930029154518952
0.6866666666666666,0.9574468085106383,0.675,0.7917888563049854
0.69,0.9568345323741008,0.665,0.784660766961652
0.6933333333333334,0.9565217391304348,0.66,0.7810650887573966
0.6966666666666667,0.9629629629629629,0.65,0.7761194029850746
0.7,0.9626865671641791,0.645,0.7724550898203593
0.7033333333333334,0.9696969696969697,0.64,0.7710843373493975
0.71,0.9692307692307692,0.63,0.7636363636363637
0.7166666666666667,0.968503937007874,0.615,0.7522935779816514
0.7233333333333334,0.9682539682539683,0.61,0.7484662576687117
0.7266666666666667,0.968,0.605,0.7446153846153846
0.73,0.967479674796748,0.595,0.736842105263158
0.7333333333333333,0.9669421487603306,0.585,0.7289719626168224
0.7366666666666667,0.9663865546218487,0.575,0.7210031347962382
0.7466666666666667,0.9661016949152542,0.57,0.7169811320754716
0.75,0.9741379310344828,0.565,0.7151898734177216
0.7533333333333333,0.9734513274336283,0.55,0.7028753993610224
0.77,0.9732142857142857,0.545,0.6987179487179488
0.7766666666666666,0.972972972972973,0.54,0.6945337620578779
0.78,0.9727272727272728,0.535,0.6903225806451613
0.7866666666666666,0.9724770642201835,0.53,0.686084142394822
